State,Crop Name,Sowing Period,Harvesting Period
Andhra Pradesh,Kharif Paddy,May-June,Nov-Dec
Andhra Pradesh,Rabi Paddy,Nov-Dec,May-June
Andhra Pradesh,Summer Paddy,March-April,July-Aug
Assam,Kharif Paddy,Feb-March,June-July
Assam,Rabi Paddy,June-July,Nov-Dec
Bihar,Kharif Paddy,Jun-Sept,April-May
Bihar,Rabi Paddy,Oct-Nov,April-May
Bihar,Summer Paddy,Feb-March,July-Aug
Gujarat,Kharif Paddy,June-July,Oct-Nov
Haryana,Kharif Paddy,June-July,Sept-Oct
Karnataka,Kharif Paddy,May-June,Sept-Oct
Karnataka,Rabi Paddy,Sept-Oct,Jan-Feb
Karnataka,Summer Paddy,Jan-Feb,May-June
Kerala,Kharif Paddy,April-May,Sept-Oct
Kerala,Rabi Paddy,Sept-Oct,Dec-Jan
Kerala,Summer Paddy,Dec-Jan,March-April
Madhya Pradesh,Kharif Paddy,June-July,Oct-Nov
Maharashtra,Kharif Paddy,June-July,Oct-Nov
Orissa,Kharif Paddy,May-June,Sept-Oct
Orissa,Rabi Paddy,June-July,Nov-Dec
Punjab,Kharif Paddy,May-Oct,April-May
Rajasthan,Kharif Paddy,June-July,Oct-Nov
Uttar Pradesh,Kharif Paddy,June-July,Oct-Nov
Uttar Pradesh,Rabi Paddy,Nov-Dec,April-May
West Bengal,Kharif Paddy,June-July,Oct-Nov
All India,Kharif Paddy,May-Aug,Sep-Jan
All India,Rabi Paddy,Dec-Jan,April-May
Assam,Rabi Wheat,Nov(B)-Dec(M),Mar(B)-Apr(E)
Bihar,Rabi Wheat,Nov(M)-Dec(E),Mar(M)-Apr(E)
Gujarat,Rabi Wheat,Oct(B)-Nov(E),Feb(B)-Mar(E)
Haryana,Rabi Wheat,Oct(E)-Dec(B),Apr(M)-Apr(E)
Himachal Pradesh,Rabi Wheat,Oct(B)-Nov(E),Apr(M)-Jun(E)
Jammu & Kashmir,Rabi Wheat,Oct(B)-Dec(E),May(B)-May(E)
Karnataka,Rabi Wheat,Oct(B)-Dec(E),Jan(B)-Feb(E)
Madhya Pradesh,Rabi Wheat,Oct(M)-Dec(E),Feb(M)-Apr(E)
Maharashtra,Rabi Wheat,Oct(B)-Dec(E),Feb(B)-Mar(E)
Orissa,Rabi Wheat,Oct-Nov,Mar-Apr
Punjab,Rabi Wheat,Oct(B)-Nov(E),Apr(B)-May(E)
Rajasthan,Rabi Wheat,Nov(B)-Dec(E),Mar(B)-May(E)
Uttar Pradesh,Rabi Wheat,Oct(B)-Jan(M),Apr(B)-Apr(M)
West Bengal,Rabi Wheat,Nov(B)-Dec(E),Mar(B)-Apr(E)
All India,Rabi Wheat,Oct-Dec,Feb-Jun
Andhra Pradesh,Kharif Bajra,Jun(B)-Jul(M),Aug(B)-Oct(B)
Gujarat,Kharif Bajra,Jun(B)-Jul(E),Sep(B)-Nov(E)
Gujarat,Summer Bajra,Feb(B)-Feb(E),May(B)-May(E)
Haryana,Kharif Bajra,Jun(M)-Jul(B),Oct(M)-Nov(M)
Karnataka,Kharif Bajra,Jul(B)-Sep(E),Oct(B)-Nov(E)
Karnataka,Summer Bajra,Jan(B)-Feb(E),Apr(B)-May(E)
Madhya Pradesh,Kharif Bajra,Jun(M)-Jul(E),Sep(E)-Dec(M)
Maharashtra,Kharif Bajra,Jun(B)-Jul(E),Sep(B)-Oct(E)
Rajasthan,Kharif Bajra,Jun(B)-Jul(E),Sep(B)-Oct(E)
Uttar Pradesh,Kharif Bajra,Jun(B)-Jul(E),Oct(B)-Nov(M)
All India,Kharif Bajra,Jun-Jul,Sep-Nov
All India,Summer Bajra,Jan-Feb,Apr-May
Andhra Pradesh,Kharif Maize,Jun(M)-Jul(M),Sep(M)-Oct(E)
Andhra Pradesh,Rabi Maize,Oct(E)-Jan(M),Feb(E)-May(B)
Bihar,Kharif Maize,Jun(M)-Jul(B),Nov(B)-Dec(E)
Bihar,Rabi Maize,Oct(M)-Nov(M),Feb(B)-Mar(B)
Gujarat,Kharif Maize,Jun(B)-Jul(E),Sep(B)-Nov(E)
Haryana,Kharif Maize,Jul(M)-Aug(B),Oct(M)-Oct(E)
Himachal Pradesh,Kharif Maize,May(M)-Jun(E),Sep(M)-Oct(M)
Karnataka,Kharif Maize,May(B)-Jun(E),Sep(B)-Oct(E)
Karnataka,Rabi Maize,Sep(B)-Oct(E),Jan(B)-Mar(E)
Madhya Pradesh,Kharif Maize,Jun(M)-Jul(E),Aug(M)-Dec(E)
Maharashtra,Kharif Maize,Jul(B)-Aug(E),Oct(B)-Nov(E)
Orissa,Kharif Maize,Jun-Jul,Sep-Oct
Punjab,Kharif Maize,May(B)-Jun(E),Sep(B)-Oct(E)
Rajasthan,Kharif Maize,Jun(B)-Jul(E),Oct(B)-Nov(E)
Uttar Pradesh,Kharif Maize,Jun(B)-Jul(E),Sep(B)-Sep(E)
West Bengal,Kharif Maize,Mar(B)-May(E),Jun(B)-Aug(E)
West Bengal,Rabi Maize,Nov(B)-Nov(E),Mar(B)-Mar(E)
All India,Kharif Maize,Mar-Jul,Sep-Dec
All India,Rabi Maize,Sep-Jan,Jan-May
Andhra Pradesh,Kharif Cotton,Jun(E)-Jul(E),Dec(E)-Mar(M)
Gujarat,Kharif Cotton,May(B)-May(E),Oct(B)-Apr(E)
Haryana,Kharif Cotton,Apr(B)-Apr(M),Oct(M)-Nov(M)
Karnataka,Kharif Cotton,May(B)-Jun(E),Sep(B)-Oct(E)
Kerala,Kharif Cotton,Jun(B)-Oct(E),Dec(B)-Mar(E)
Madhya Pradesh,Kharif Cotton,Jun(M)-Jul(E),Aug(M)-Dec(E)
Maharashtra,Kharif Cotton,Jul(B)-Aug(E),Oct(B)-Nov(E)
Punjab,Kharif Cotton,Apr(B)-Mar(E),Sep(B)-Oct(E)
Rajasthan,Kharif Cotton,Apr(B)-May(E),Nov(B)-Dec(E)
Uttar Pradesh,Kharif Cotton,Apr(B)-Jun(E),Sep(B)-Nov(E)
All India,Kharif Cotton,Apr-Jul,Sep-Dec
Andhra Pradesh,Early Kharif Arhar,Jun(B)-Jun(M),Nov(M)-Dec(E)
Andhra Pradesh,Kharif Arhar,Jun(M)-Jul(M),Dec(M)-Jan(M)
Karnataka,Early Kharif Arhar,Jun(B)-Jun(M),Nov(B)-Dec(M)
Karnataka,Kharif Arhar,Jun(M)-Jul(M),Dec(M)-Jan(M)
Maharashtra,Early Kharif Arhar,Jun(B)-Jun(M),Dec(M)-Jan(M)
Maharashtra,Kharif Arhar,Jun(M)-Jul(M),Dec(M)-Feb(M)
Madhya Pradesh,Early Kharif Arhar,Jun(B)-Jun(M),Jun(B)-Jun(M)
Madhya Pradesh,Kharif Arhar,Jun(M)-Jul(M),Jan(M)-Feb(M)
All India,Early Kharif Arhar,Jun(B)-Jun(M),Nov(M)-Jan(M)
All India,Kharif Arhar,Jun(B)-Jul(E),Dec(M)-Apr(E)
Assam,Rabi Lentil,Oct(M)-Nov(M),Mar(M)-Apr(M)
Bihar,Kharif Lentil,Jun(M)-Jul(B),Nov(B)-Dec(E)
Bihar,Rabi Lentil,Oct(M)-Nov(M),Mar(M)-Apr(M)
Goa,Kharif Lentil,Aug(B)-Sep(E),Dec(B)-Jan(E)
Goa,Rabi Lentil,Nov(B)-Dec(E),Mar(B)-May(E)
Punjab,Kharif Lentil,Jun(B)-Jul(E),Nov(B)-Dec(E)
Punjab,Rabi Lentil,Oct-Nov,March-April
West Bengal,Kharif Lentil,Nov(B)-Nov(E),Feb(B)-Mar(E)
